segment_id,from_node,to_node,length,is_chokepoint,disconnected_node_count,total_node_count,graph_blocking_score,chokepoint_score,length_score,graph_risk_score,risk_level
SEG_001,3,35,14.6,False,0,43,0.0,0.0,8.729,1.309,LOW
SEG_002,3,25,28.1,False,0,43,0.0,0.0,23.646,3.547,LOW
SEG_003,3,20,20.3,False,1,43,2.326,0.0,15.028,3.649,LOW
SEG_004,4,9,13.8,True,0,43,0.0,100.0,7.845,26.177,LOW
SEG_005,4,14,76.8,False,0,43,0.0,0.0,77.459,11.619,LOW
SEG_006,5,31,15.1,False,0,43,0.0,0.0,9.282,1.392,LOW
SEG_007,5,22,29.7,False,0,43,0.0,0.0,25.414,3.812,LOW
SEG_008,6,23,47.3,False,2,43,4.651,0.0,44.862,9.52,LOW
SEG_009,6,13,60.3,False,1,43,2.326,0.0,59.227,10.279,LOW
SEG_010,7,15,14.3,False,0,43,0.0,0.0,8.398,1.26,LOW
SEG_011,7,34,27.7,False,0,43,0.0,0.0,23.204,3.481,LOW
SEG_012,7,31,14.0,False,0,43,0.0,0.0,8.066,1.21,LOW
SEG_013,8,28,84.9,False,2,43,4.651,0.0,86.409,15.752,LOW
SEG_014,8,26,72.3,False,1,43,2.326,0.0,72.486,12.268,LOW
SEG_015,9,30,76.1,False,0,43,0.0,0.0,76.685,11.503,LOW
SEG_016,10,25,32.1,False,0,43,0.0,0.0,28.066,4.21,LOW
SEG_017,10,12,39.9,False,0,43,0.0,0.0,36.685,5.503,LOW
SEG_018,11,32,7.1,False,1,43,2.326,0.0,0.442,1.462,LOW
SEG_019,12,36,13.6,False,0,43,0.0,0.0,7.624,1.144,LOW
SEG_020,12,34,32.4,False,0,43,0.0,0.0,28.398,4.26,LOW
SEG_021,14,30,14.6,False,0,43,0.0,0.0,8.729,1.309,LOW
SEG_022,14,40,57.2,False,8,43,18.605,0.0,55.801,19.533,LOW
SEG_023,2,27,83.9,False,2,43,4.651,0.0,85.304,15.586,LOW
SEG_024,2,1,8.8,False,1,43,2.326,0.0,2.32,1.743,LOW
SEG_025,15,21,30.3,False,0,43,0.0,0.0,26.077,3.912,LOW
SEG_026,15,22,15.3,False,0,43,0.0,0.0,9.503,1.425,LOW
SEG_027,16,18,23.8,False,3,43,6.977,0.0,18.895,7.02,LOW
SEG_028,16,37,14.9,False,4,43,9.302,0.0,9.061,6.941,LOW
SEG_029,17,30,63.1,False,4,43,9.302,0.0,62.32,14.929,LOW
SEG_030,17,28,97.2,False,3,43,6.977,0.0,100.0,19.186,LOW
SEG_031,18,42,54.4,False,1,43,2.326,0.0,52.707,9.301,LOW
SEG_032,18,33,11.2,False,1,43,2.326,0.0,4.972,2.141,LOW
SEG_033,19,41,13.5,False,0,43,0.0,0.0,7.514,1.127,LOW
SEG_034,19,24,76.7,False,0,43,0.0,0.0,77.348,11.602,LOW
SEG_035,21,36,28.9,False,0,43,0.0,0.0,24.53,3.68,LOW
SEG_036,21,34,14.5,False,0,43,0.0,0.0,8.619,1.293,LOW
SEG_037,22,29,44.5,False,15,43,34.884,0.0,41.768,27.195,LOW
SEG_038,23,43,6.7,False,3,43,6.977,0.0,0.0,4.186,LOW
SEG_039,24,37,14.5,False,0,43,0.0,0.0,8.619,1.293,LOW
SEG_040,25,38,14.4,False,0,43,0.0,0.0,8.508,1.276,LOW
SEG_041,27,32,73.5,False,3,43,6.977,0.0,73.812,15.258,LOW
SEG_042,29,40,19.1,False,14,43,32.558,0.0,13.702,21.59,LOW
SEG_043,31,35,13.4,False,0,43,0.0,0.0,7.403,1.11,LOW
SEG_044,32,40,95.3,False,5,43,11.628,0.0,97.901,21.662,LOW
SEG_045,34,39,12.6,False,1,43,2.326,0.0,6.519,2.373,LOW
SEG_046,35,38,28.7,False,0,43,0.0,0.0,24.309,3.646,LOW
SEG_047,36,43,24.3,True,12,43,27.907,100.0,19.448,44.661,MEDIUM
SEG_048,37,41,75.2,False,0,43,0.0,0.0,75.691,11.354,LOW
SEG_049,41,43,11.1,False,8,43,18.605,0.0,4.862,11.892,LOW
