segment_id,slice_index,point_count,bbox_width_x,bbox_width_y,bbox_height_z,centroid_x,centroid_y,centroid_z,width_proxy,height_proxy,ceiling_z_p95,floor_z_p05,ceiling_roughness,narrowness_score,low_ceiling_score,ceiling_roughness_score,geometry_change_score,lidar_geometry_risk,risk_level
SEG_001,0,133,9.075306172273597,180.36998748779297,2.970000147819519,-49.83766920046699,114.48353329995521,-2.4656390623938766,170.92000122070314,2.6559999704360964,-1.8799999952316284,-4.535999965667725,0.08166667574001715,40.922,46.141,7.365,0.0,25.653,LOW
SEG_002,1,2539,9.075306172273597,180.67001342773438,2.710000157356262,-43.31142576983145,97.1969200575995,-1.9353721958297874,138.803995513916,2.4600000381469727,-1.7100000381469727,-4.170000076293945,0.014610296612163315,52.05,50.207,0.973,11.012,30.613,MEDIUM
SEG_003,2,478,9.075306172273597,312.7400093078613,6.140000104904175,-34.381610954156976,122.53167351519214,-3.2042886881142167,283.8849948883057,3.7545001477003095,-0.5470000058412556,-4.301500153541565,0.6689046757705099,1.779,23.351,63.342,49.886,32.184,MEDIUM
SEG_004,3,4656,9.075306172273597,314.7300033569336,5.6600000858306885,-25.282862968051557,91.52525988722995,0.14670747436928688,265.2024965286255,2.689999997615814,1.8700000047683716,-0.8199999928474426,0.3836437061561512,8.253,45.436,36.15,6.73,24.218,LOW
SEG_005,4,4497,9.075306172273597,302.0699920654297,6.7500001192092896,-14.80321548492452,103.79742056501821,0.9159706513185534,263.5279949188232,3.342000001668928,2.9920000076293927,-0.3499999940395355,0.887697696024249,8.833,31.909,84.198,0.793,31.835,MEDIUM
SEG_006,5,8058,9.075306172273597,277.3599967956543,5.909999907016754,-7.564844869567254,78.35601142901497,2.0145693727463603,252.39149751663209,3.5800002217292786,4.03000020980835,0.44999998807907104,0.9379314179312432,12.692,26.971,88.986,3.877,33.572,MEDIUM
SEG_007,6,5503,9.075306172273597,250.28999710083008,5.779999911785126,1.3321224777077043,15.033812471476402,2.5461766323825783,65.11900012493133,4.8799998089671135,4.949999809265137,0.07000000029802322,0.6371077334903334,77.582,0.0,60.311,64.268,51.206,MEDIUM
SEG_008,7,6471,9.075306172273597,233.32000243663788,7.479999780654907,12.409363309523917,170.4501144156396,2.1344907948255925,217.5699987411499,4.399999901652336,4.599999904632568,0.20000000298023224,1.0534737942671248,24.758,9.959,100.0,52.121,45.341,MEDIUM
SEG_009,8,4993,9.075306172273597,251.70999717712402,3.3599999397993088,19.78468255731211,110.77435612418623,1.7992789889447989,236.37999880313873,3.029999941587448,3.299999952316284,0.27000001072883606,0.31800673446057653,18.24,38.382,29.893,6.878,23.916,LOW
SEG_010,9,5149,9.075306172273597,251.5099925994873,4.510000169277191,28.060097119673454,101.84770835198681,3.1405709894809197,232.4759979248047,2.8899999856948853,4.559999942779541,1.6699999570846558,0.15037143274501746,19.593,41.286,13.914,1.378,19.954,LOW
